Date,Avg,Rest,Low,Medium Stress,High Stress
1/10/2025,33,2h 14min,7h 35min,55min,1min
1/9/2025,27,5h 41min,4h 8min,28min,3min
1/8/2025,31,9h 57min,4h 32min,2h 34min,52min
1/7/2025,22,7h 25min,1h 44min,17min,--
1/6/2025,26,7h 10min,3h 58min,18min,8min
1/5/2025,27,10h 19min,6h 30min,1h 5min,13min
1/4/2025,28,5h 38min,5h 53min,33min,--
1/3/2025,28,5h 23min,4h 19min,26min,14min
1/2/2025,24,8h 2min,2h 15min,43min,1min
1/1/2025,29,9h 2min,7h 13min,1h 46min,3min
12/31/2024,25,7h 14min,3h 58min,38min,2min
12/30/2024,25,7h 11min,4h 10min,23min,--
12/29/2024,30,9h 41min,6h 19min,2h 14min,11min
12/28/2024,31,4h 3min,6h 9min,1h 12min,2min
12/27/2024,25,7h 29min,2h 57min,33min,1min
12/26/2024,34,5h 12min,7h 23min,2h 3min,35min
12/25/2024,27,10h 37min,6h 50min,59min,3min
12/24/2024,29,7h 12min,5h 33min,1h 2min,3min
12/23/2024,21,9h 49min,2h 7min,23min,4min
12/22/2024,17,17h 6min,1h 53min,11min,1min
12/21/2024,20,8h 43min,1h 53min,17min,7min
12/20/2024,22,8h 45min,2h 45min,9min,1min
12/19/2024,29,7h 11min,2h 17min,1h 19min,18min
12/18/2024,19,10h 20min,1h 46min,7min,--
12/17/2024,24,8h 47min,2h 53min,26min,4min
12/16/2024,21,9h 57min,1h 14min,23min,4min
12/15/2024,21,12h 39min,2h 43min,24min,1min
12/14/2024,20,10h 27min,2h 6min,25min,1min
12/13/2024,20,10h 0min,56min,24min,2min
12/12/2024,21,8h 25min,3h 2min,12min,1min
12/11/2024,23,11h 17min,2h 38min,40min,6min
12/10/2024,21,8h 38min,2h 51min,5min,7min
12/9/2024,17,10h 52min,1h 19min,3min,--
12/8/2024,20,14h 59min,4h 5min,44min,2min
12/7/2024,25,8h 16min,1h 49min,1h 28min,9min
12/6/2024,20,9h 59min,1h 59min,20min,--
12/5/2024,19,10h 16min,1h 7min,21min,4min
12/4/2024,25,11h 35min,2h 43min,2h 1min,25min
12/3/2024,25,6h 16min,5h 17min,14min,--
12/2/2024,25,4h 43min,3h 4min,52min,9min
12/1/2024,17,17h 15min,1h 19min,30min,9min
11/30/2024,23,7h 39min,3h 30min,37min,--
11/29/2024,19,9h 38min,1h 40min,18min,3min
11/28/2024,24,8h 37min,1h 38min,41min,4min
11/27/2024,27,11h 23min,3h 50min,1h 14min,24min
11/26/2024,38,2h 33min,7h 5min,2h 18min,11min
11/25/2024,23,14h 9min,4h 31min,1h 5min,7min
11/24/2024,20,16h 52min,5h 16min,6min,1min
11/23/2024,33,6h 30min,8h 7min,1h 46min,31min
11/22/2024,46,1h 9min,8h 36min,5h 33min,32min
11/21/2024,38,5h 52min,6h 45min,4h 0min,31min
11/20/2024,25,13h 18min,3h 46min,1h 15min,14min
11/19/2024,26,12h 44min,4h 38min,1h 6min,19min
11/18/2024,16,11h 28min,24min,3min,--
11/17/2024,19,17h 23min,2h 44min,39min,--
11/16/2024,29,10h 31min,6h 9min,2h 4min,20min
11/15/2024,30,9h 19min,3h 6min,2h 32min,22min
11/14/2024,24,12h 39min,5h 30min,1h 31min,4min
11/13/2024,34,8h 50min,4h 29min,3h 13min,1h 11min
11/12/2024,45,4h 19min,9h 47min,6h 32min,1h 50min
11/11/2024,38,7h 1min,6h 12min,4h 59min,1h 6min
11/10/2024,22,14h 53min,5h 2min,31min,--
11/9/2024,36,4h 1min,11h 20min,2h 38min,6min
11/8/2024,33,6h 22min,7h 13min,2h 16min,27min
11/7/2024,32,8h 15min,7h 7min,2h 21min,16min
11/6/2024,32,8h 44min,7h 32min,2h 7min,38min
11/5/2024,34,6h 28min,9h 5min,2h 33min,11min
11/4/2024,39,5h 41min,3h 4min,3h 1min,1h 12min
11/3/2024,33,9h 55min,5h 30min,3h 27min,41min
11/2/2024,24,12h 7min,5h 34min,44min,7min
11/1/2024,29,9h 31min,8h 16min,1h 2min,27min
10/31/2024,37,8h 19min,3h 24min,2h 31min,1h 45min
10/30/2024,36,4h 38min,8h 7min,2h 33min,41min
10/29/2024,36,4h 46min,8h 35min,2h 50min,16min
10/28/2024,30,10h 53min,7h 28min,2h 23min,12min
10/27/2024,30,7h 36min,12h 47min,50min,1min
10/26/2024,37,6h 8min,7h 3min,3h 34min,39min
10/25/2024,27,8h 59min,4h 14min,1h 19min,3min
10/24/2024,30,3h 16min,8h 9min,31min,1min
10/23/2024,35,4h 33min,6h 22min,1h 57min,19min
10/22/2024,39,5h 33min,6h 28min,4h 20min,1h 24min
10/21/2024,38,6h 41min,6h 1min,3h 49min,1h 40min
10/20/2024,39,6h 43min,6h 44min,4h 45min,55min
10/19/2024,26,8h 56min,5h 12min,1h 2min,13min
10/18/2024,33,7h 50min,3h 14min,2h 18min,47min
10/17/2024,26,11h 24min,5h 54min,1h 15min,7min
10/16/2024,32,7h 5min,3h 2min,2h 19min,50min
10/15/2024,38,5h 48min,8h 4min,4h 3min,42min
10/14/2024,27,11h 25min,5h 54min,1h 12min,12min
10/13/2024,24,12h 17min,5h 43min,54min,3min
10/12/2024,32,9h 29min,6h 5min,2h 24min,30min
10/11/2024,25,11h 29min,2h 56min,1h 4min,23min
10/10/2024,22,13h 36min,4h 3min,38min,7min
10/9/2024,24,12h 32min,4h 35min,1h 2min,6min
10/8/2024,26,10h 0min,6h 42min,1h 24min,5min
10/7/2024,23,12h 27min,4h 3min,1h 44min,8min
10/6/2024,21,5h 13min,1h 8min,7min,--
10/5/2024,31,8h 0min,4h 58min,2h 1min,16min
10/4/2024,32,8h 50min,5h 7min,2h 24min,37min
10/3/2024,32,9h 8min,9h 21min,2h 22min,8min
10/2/2024,30,9h 37min,2h 6min,2h 12min,43min
10/1/2024,34,9h 21min,5h 39min,3h 54min,27min
9/30/2024,30,10h 36min,3h 56min,2h 39min,1min
9/29/2024,24,10h 46min,5h 59min,54min,4min
9/28/2024,34,5h 42min,10h 16min,2h 14min,15min
9/27/2024,29,8h 50min,8h 34min,1h 18min,8min
9/26/2024,28,11h 16min,4h 7min,2h 30min,12min
9/25/2024,26,8h 39min,2h 21min,1h 7min,17min
9/24/2024,31,9h 20min,7h 32min,2h 53min,19min
9/23/2024,32,8h 10min,6h 33min,2h 27min,38min
9/22/2024,28,11h 7min,8h 52min,1h 19min,2min
9/21/2024,35,6h 13min,7h 11min,2h 58min,25min
9/20/2024,34,8h 22min,7h 7min,3h 12min,50min
9/19/2024,29,11h 21min,7h 0min,1h 58min,14min
9/18/2024,33,6h 1min,5h 51min,2h 12min,13min
9/17/2024,26,8h 46min,4h 23min,39min,5min
9/16/2024,33,9h 11min,3h 42min,3h 33min,1h 10min
9/15/2024,25,14h 8min,7h 2min,55min,2min
9/14/2024,31,8h 1min,7h 53min,1h 37min,15min
9/13/2024,31,9h 7min,5h 6min,2h 51min,36min
9/12/2024,36,8h 56min,4h 55min,2h 55min,1h 37min
9/11/2024,22,13h 57min,4h 44min,39min,4min
9/10/2024,26,11h 15min,3h 44min,1h 34min,11min
9/9/2024,23,11h 12min,5h 2min,22min,1min
9/8/2024,28,10h 35min,6h 54min,1h 39min,2min
9/7/2024,24,9h 49min,5h 16min,54min,5min
9/6/2024,31,9h 44min,3h 39min,2h 30min,42min
9/5/2024,24,11h 55min,4h 25min,1h 22min,2min
9/4/2024,30,8h 45min,4h 42min,1h 37min,28min
9/3/2024,28,10h 24min,4h 13min,2h 2min,19min
9/2/2024,29,9h 27min,5h 28min,1h 39min,41min
9/1/2024,33,6h 3min,10h 42min,1h 56min,9min
8/31/2024,35,10h 55min,4h 19min,1h 44min,2h 19min
8/30/2024,30,10h 24min,4h 40min,2h 34min,32min
8/29/2024,26,10h 17min,3h 23min,1h 41min,3min
8/28/2024,37,4h 9min,3h 51min,2h 28min,21min
8/27/2024,26,8h 44min,29min,38min,1h 12min
8/26/2024,37,6h 29min,5h 34min,2h 58min,1h 0min
8/25/2024,28,10h 1min,6h 46min,1h 18min,5min
8/24/2024,31,9h 34min,4h 30min,1h 54min,1h 20min
8/23/2024,29,11h 45min,4h 22min,2h 28min,14min
8/22/2024,33,9h 5min,4h 39min,2h 44min,57min
8/21/2024,25,3h 9min,2h 52min,2min,--
8/20/2024,27,9h 44min,3h 59min,1h 58min,13min
8/19/2024,26,9h 29min,5h 7min,1h 40min,6min
8/18/2024,28,10h 41min,5h 53min,1h 24min,11min
8/17/2024,29,10h 7min,4h 13min,2h 31min,26min
8/16/2024,27,11h 25min,6h 13min,1h 18min,8min
8/15/2024,32,6h 27min,5h 14min,1h 47min,29min
8/14/2024,25,10h 2min,6h 13min,41min,2min
8/13/2024,36,7h 42min,3h 32min,2h 49min,1h 41min
